"","scopusID","doi","pmid","authors","affiliations","countries","year","articletitle","journal","volume","issue","pages","keywords","abstract","ptype","timescited"
"23","2-s2.0-85048246527",NA,NA,"NA NA","NA","NA","2019","5th International Conference on Robot Intelligence Technology and Applications, RiTA 2017","Advances in Intelligent Systems and Computing","751",NA,"",NA,"The proceedings contain 46 papers. The special focus in this conference is on Robot Intelligence Technology and Applications. The topics include: A proactive robot tutor based on emotional intelligence; reusability quality metrics for agent-based robot systems; SVM-based fault type classification method for navigation of formation control systems; Indoor magnetic pose graph SLAM with Robust Back-End; Multi-robot SLAM: An overview and quantitative evaluation of MRGS ROS framework for MR-SLAM; a reinforcement learning technique for autonomous back driving control of a vehicle; rapid coverage of regions of interest for environmental monitoring; embedded drilling system using rotary-percussion drilling; design and development of innovative pet feeding robot; reinforcement learning of a memory task using an Echo State network with multi-layer readout; signbot, sign-language performing robot, based on sequential motion of servo motor arrays; isolated bio-regenerative system for vertical farming through robots in space explorations; a mobile social bar table based on a retired security robot; i remember what you did: A behavioural guide-robot; robot supporting for deaf and less hearing people; the use of machine learning for correlation analysis of sentiment and weather data; design and analysis of a novel sucked-type underactuated hand with multiple grasping modes; robotizing the bio-inspiration; an observer design technique for improving velocity estimation of a gimbal system; voice controlled multi-robot system for collaborative task achievement; selective filter transfer; the control of an upper extremity exoskeleton for stroke rehabilitation by means of a hybrid active force control; intellectual multi agent control of tripod; multi-object tracking with pre-classified detection.","Conference Review","0"
"24","2-s2.0-85049010183","10.1007/978-3-319-92231-7_16",NA,"Sun C.|Zhang J.|Liu C.|King B.C.B.|Zhang Y.|Galle M.|Spichkova M.|Simic M.","RMIT University","Australia","2019","Software development for autonomous and social robotics systems","Smart Innovation, Systems and Technologies","98",NA,"151-160",NA,"© Springer International Publishing AG, part of Springer Nature 2019. One of the core features of social robotics system is a physical interaction between humans and humanoid robots. This provides additional challenges, both from safety and usability prospectives. When dealing with human-robot interaction, human safety has the highest priority. While in industrial environment we have robot cells to protect humans, in social robotics, that we consider, physical contact is possible, as well as other interactions, with consequences that might be in psychological areas. For example, the conversation with children might have different requirements in comparison to the conversation with adults, the behavioural assumptions might be different, etc. This paper summarises the core results of a project on social robotics system, where an autonomous humanoid robot guides visitors through a lab tour. The results of our work were implemented on the humanoid PAL REEM robot. The implementation includes a web-application to support the management of robot-guided tours. The application also provides recommendations for the users as well as allows for a visual analysis of historical data on the tours.","Conference Paper","0"
"25","2-s2.0-85049509088","10.1007/978-3-319-94346-6_14",NA,"Hernandez-Cedeño J.|Ramírez-Benavides K.|Guerrero L.|Vega A.","Universidad de Costa Rica","Costa Rica","2019","NAO as a copresenter in a robotics workshop - Participant’s feedback on the engagement level achieved with a robot in the classroom","Advances in Intelligent Systems and Computing","784",NA,"143-152","Education robots|Human-robot collaboration|Human-robot interaction|Humanoid robots","© Springer International Publishing AG, part of Springer Nature 2019. Robotics, combined with computer science and human-centered studies, can have a substantial impact in areas such as education and innovation. Robots have proven to be a good tool to gain and maintain users’ involvement in different activities. In education, robots can be used as teaching assistants to improve participation, enhance concentration or just to get students’ attention. In this research, we involved an NAO, a humanoid robot, in a workshop presentation with the aim of measuring the impact of this technique on the level of engagement showed by the participants. The robot was programmed to simulate speech and gesticulate while it talked to apply the Wizard of Oz technique.","Conference Paper","0"
"26","2-s2.0-85049523363","10.1007/978-3-319-94346-6_7",NA,"Dao Q.V.|Martin L.|Mercer J.|Wolter C.|Gomez A.|Homola J.","NASA Ames Research Center|San Jose State University","United States","2019","Information displays and crew configurations for UTM operations","Advances in Intelligent Systems and Computing","784",NA,"64-74","Situation awareness|Teams|UAS|UTM","© Springer International Publishing AG, part of Springer Nature 2019. In this paper we discuss how team configuration may influence how information is shared among team members for low-altitude Unmanned Aircraft Systems (UAS) operations. NASA collected and analyzed observation data gathered during a series of field tests for the UAS Traffic Management (UTM) project. The field tests were part of a larger effort aimed at advancing the UTM concept, conducted at six test-sites across the USA. Ground control station (GCS) concepts, flight-crew composition, and crew-size varied within and across test-sites. Flight crews took two strategic approaches to organizing their teams. The first of the two approaches was implemented by one third of the flight crews. These crews integrated the role of UTM operator into the duties of existing crew members, merging the current roles with this new one, keeping the UTM operator collocated with the flight crew. The remaining two thirds implemented a distributed team configuration, where a single UTM operator distributed support across multiple crews. Results from our data collection efforts revealed that UTM operator location influenced whether flight crews used verbal communication versus displays to acquire UTM information.","Conference Paper","0"
"27","2-s2.0-85049537671","10.1007/978-3-319-94622-1_12",NA,"Serpa-Andrade G.|Serpa-Andrade L.|Robles-Bykbaev V.","Universidad Politécnica Salesiana - UPS","Ecuador","2019","Preprocessing the structural optimization of the SPELTRA robotic assistant by numerical simulation based on finite elements","Advances in Intelligent Systems and Computing","776",NA,"116-127","Children with disabilities|Communication disorders|Finite elements|Pedagogical robotic|Simulation by numerical methods|Special education|SPELTRA|Structural design","© Springer International Publishing AG, part of Springer Nature 2019. This project will structurally optimize the robotic assistant SPELTRA (Robotic Assistant for Speech and Language Therapy) that serves as pedagogical support to children with and without disabilities who are benefiting through the UNESCO Chair and Assistance Technologies (GI-IATa) of the UPS. This process would be carrying out through the study of different geometries and materials considering certain aspects technical and economic that will help to define by weighting parameters the optimal geometry and two possible materials for the design and creation of the new structure of the robot. After, will be defined all the variables and restrictions affecting the SPELTRA during the manipulation to which it is subjected in the robot-human interaction, thus establishing the structural model. For its analysis, CAD-CAE computational tools based on finite elements will be using and it will can to observe the possible deformations, efforts and safety factor to which would be subjected.","Conference Paper","0"
"28","2-s2.0-85051704338","10.1007/978-3-319-96080-7_42",NA,"Ipsen C.|Nardelli G.|Poulsen S.|Ronzoni M.","Danmarks Tekniske Universitet","Denmark","2019","Implementing Tele Presence Robots in Distance Work: Experiences and Effects on Work","Advances in Intelligent Systems and Computing","821",NA,"358-365","Distance management|Implementation|Telepresence robots","© 2019, Springer Nature Switzerland AG. As companies move toward globalization, companies use distance work to accomplish work more effectively and efficiently. A telepresence robot (TPR) is a mobile remote presence device that allows a two-way communication and interaction between a distance manager and the employees. The objective of the study was to improve the understanding of how distance workers and managers experience the use of TPR in the daily management and in which tasks the TPR is suitable to ensure employee well-being and thus performance. The data collection included three phases – before, during and after the implementation of the TPR, where we conducted 25 semi-structured individual and group interviews, on-site observations of the TPR in use and research notes. The distance manager (user) controlled the TPR from a distant site when using it in the home office. The managers were able to create a sense of proximity and via the camera feature, enable eye-contact, which the managers considered essential and beneficial for assessing the employee’s feelings and well-being. The majority of the users had a positive experience regarding the TPR basic functionalities´ utilization. In all three cases the participants, both managers and employees, agreed that the TPR is most useful in planned project meetings. On the other hand, the lack of trust, problems with the technology, privacy issues and intrusive emotions affected the use of the TPR in a negative way in some cases. The TPR was not suitable for meetings where people needed to share physical documents or important meetings, i.e. private talks or decisions meetings.","Conference Paper","0"
"29","2-s2.0-85051783599","10.1007/978-3-319-92108-2_13",NA,"Kampman O.|Siddique F.B.|Yang Y.|Fung P.","Hong Kong University of Science and Technology|EMOS Technologies, Inc.","Hong Kong","2019","Adapting a virtual agent to user personality","Lecture Notes in Electrical Engineering","510",NA,"111-118","Adaptive virtual agents|Empathetic robots|Personality recognition","© 2019, Springer International Publishing AG, part of Springer Nature. We propose to adapt a virtual agent called ‘Zara the Supergirl’ to user personality. User personality is deducted through two models, one based on raw audio and the other based on speech transcription text. Both models show good performance, with an average F-score of 69.6 for personality perception from audio, and an average F-score of 71.0 for recognition from text. Both models deploy a Convolutional Neural Network. Through a Human-Agent Interaction study we find correlations between user personality and preferred agent personality. The study suggests that especially the Openness user personality trait correlates with a stronger preference for agents with more gentle personality. People also sense more empathy and enjoy better conversations when agents adapt their personalities.","Conference Paper","0"
"30","2-s2.0-85051788197",NA,NA,"NA NA","NA","NA","2019","8th International Workshop on Spoken Dialogue Systems, IWSDS 2017","Lecture Notes in Electrical Engineering","510",NA,"",NA,"The proceedings contain 25 papers. The special focus in this conference is on Spoken Dialogue Systems. The topics include: Towards metrics of evaluation of pepper robot as a social companion for the elderly; a social companion and conversational partner for the elderly; adapting a virtual agent to user personality; A conversational dialogue manager for the humanoid Robot ERICA; eliciting positive emotional impact in dialogue response selection; predicting interaction quality in customer service dialogs; direct and mediated interaction with a holocaust survivor; acoustic-prosodic entrainment in multi-party spoken dialogues: Does simple averaging extend existing pair measures properly?; how to find the right voice commands? Semantic priming in task representations; automatic evaluation of chat-oriented dialogue systems using large-scale multi-references; exploring the applicability of elaborateness and indirectness in dialogue management; an open-source dialog system with real-time engagement tracking for job interview training applications; on the applicability of a user satisfaction-based reward for dialogue policy learning; OntoVPA—An ontology-based dialogue management system for virtual personal assistants; regularized neural user model for goal-oriented spoken dialogue systems; yeah, right, uh-huh: A deep learning backchannel predictor; what information should a dialogue system understand?: Collection and analysis of perceived information in chat-oriented dialogue; chunks in multiparty conversation—building blocks for extended social talk; debbie, the debate bot of the future; data-driven dialogue systems for social agents; chaD: Chat-oriented dialog systems; domain complexity and policy learning in task-oriented dialogue systems; single-model multi-domain dialogue management with deep learning.","Conference Review","0"
"31","2-s2.0-85051790509","10.1007/978-3-319-96074-6_16",NA,"Reinhardt J.|Schmidtler J.|Bengler K.","Technical University of Munich","Germany","2019","Corporate robot motion identity","Advances in Intelligent Systems and Computing","823",NA,"152-164","Corporate identity|Human-robot interaction|Legibility|Motion planning|Movement cues|Service design|Service robots","© Springer Nature Switzerland AG 2019. Mobile robotic systems are increasingly merging into human dominated areas and therefore will interact and coordinate with pedestrians in private and public spaces. To ease intuitive coordination in human-robot interaction, robots should be able to express intent via motion. This will enable an observer to quickly and confidently infer the robot’s goal to establish productive encounters. For long-term interaction, trajectories in straight drive or curvature have been optimized for this purpose. In addition, short-term movement cues are perceivable changes in motion parameters and direction of movement that can be utilized to express intent in a non-verbal manner. For example, yielding priority to a person via a short back-off movement cue, as opposed to merely a stop, provides the possibility of legible and agreeable robot navigation. In the service design domain, the front line personnel’s behavior is a crucial quality factor of how an organization is perceived by customers and society. Recent developments show that mobile robotic systems are increasingly supplementing a service company’s front line personnel. Companies such as Starship Technologies or Deutsche Post apply service robots for transportation purposes. Integrating robot motion into an organization’s visual identity to communicate the visual cues of what the organization wants to express could contribute to the customer experience. In order to provide movement cues that are not only legible, but convey an inherent personality of the robot carrying out the task and therefore reflect on the organization’s public image, we discuss aforementioned factors for consideration when developing a corporate robot motion identity. We integrate service quality domains and affected human roles for application in the creative practice of designing motion. Thus, recognizable movement cues which are designed to express intent to coexisting and cooperating pedestrians in an everyday context can be tailored to what an organization wants to express to its environment, customers or other stakeholders.","Conference Paper","0"
"32","2-s2.0-85051814557","10.1007/978-3-319-96059-3_4",NA,"Rothwell C.D.|Shalin V.L.|Romigh G.D.","Wright State University|Infoscitex Corporation|Kno.e.sis Center|Wright-Patterson AFB","United States","2019","Searching for the model of common ground in human-computer dialogue","Advances in Intelligent Systems and Computing","827",NA,"33-42","Common ground|Dialogue|Human-computer interaction","© Springer Nature Switzerland AG 2019. Natural language dialogue is a desirable method for human-robot interaction and human-computer interaction. Critical to the success of dialogue is the underlying model for common ground and the grounding process that establishes, adds to, and repairs shared understanding. The model of grounding for human-computer interaction should be informed by human-human dialogue. However, the processes involved in human-human grounding are under dispute within the research community. Three models have been proposed: alignment, a simple model that has been influential on dialogue system development, interpersonal synergy, an automatic coordination emerging from interaction, and perspective taking, a strategic interaction based on intentional coordination. Few studies have simultaneously evaluated these models. We tested the models’ ability to account for human-human performance in a complex collaborative task that stressed the grounding process. The results supported the perspective taking model over the synergy model and the alignment model, indicating the need to reassess the alignment model as a foundation for human-computer interaction.","Conference Paper","0"
"33","2-s2.0-85051821641","10.1007/978-3-319-92108-2_11",NA,"Bechade L.|Dubuisson-Duplessis G.|Pittaro G.|Garcia M.|Devillers L.","Universite Paris-Sud XI|Sorbonne Universite","France","2019","Towards metrics of evaluation of pepper robot as a social companion for the elderly","Lecture Notes in Electrical Engineering","510",NA,"89-101","Data collection|Elderly end-users|Evaluation|Human-Robot Interaction|Metrics","© 2019, Springer International Publishing AG, part of Springer Nature. For the design of socially acceptable robots, field studies in Human-Robot Interaction are necessary. Constructing dialogue benchmarks can have a meaning only if researchers take into account the evaluation of robot, human, and their interaction. This paper describes a study aiming at finding an objective evaluation procedure of the dialogue with a social robot. The goal is to build an empathic robot (JOKER project) and it focuses on elderly people, the end-users expected by ROMEO2 project. The authors carried out three experimental sessions. The first time, the robot was NAO, and it was with a Wizard of Oz (emotions were entered manually by experimenters as inputs to the program). The other times, the robot was Pepper, and it was totally autonomous (automatic detection of emotions and decision according to). Each interaction involved various scenarios dealing with emotion recognition, humor, negotiation and cultural quiz. The paper details the system functioning, the scenarios and the evaluation of the experiments.","Conference Paper","0"
"34","2-s2.0-85051825763","10.1007/978-3-319-92108-2_14",NA,"Milhorat P.|Lala D.|Inoue K.|Zhao T.|Ishida M.|Takanashi K.|Nakamura S.|Kawahara T.","Kyoto University","Japan","2019","A conversational dialogue manager for the humanoid Robot ERICA","Lecture Notes in Electrical Engineering","510",NA,"119-131","Attentive listening|Human robot interaction|Statement response|User studies","© 2019, Springer International Publishing AG, part of Springer Nature. We present a dialogue system for a conversational robot, Erica. Our goal is for Erica to engage in more human-like conversation, rather than being a simple question-answering robot. Our dialogue manager integrates question-answering with a statement response component which generates dialogue by asking about focused words detected in the user’s utterance, and a proactive initiator which generates dialogue based on events detected by Erica. We evaluate the statement response component and find that it produces coherent responses to a majority of user utterances taken from a human-machine dialogue corpus. An initial study with real users also shows that it reduces the number of fallback utterances by half. Our system is beneficial for producing mixed-initiative conversation.","Conference Paper","0"
"35","2-s2.0-85052249168",NA,NA,"NA NA","NA","NA","2019","International Conference on Cognitive Informatics and Soft Computing, CISC 2017","Advances in Intelligent Systems and Computing","768",NA,"",NA,"The proceedings contain 74 papers. The special focus in this conference is on Cognitive Informatics and Soft Computing. The topics include: Data mining approaches for correlation and cache replacement in wireless ad hoc networks; an approach to detect an image as a selfie using object recognition methods; t wave analysis: Potential marker of arrhythmia and ischemia detection-a review; functional link artificial neural network (flann) based design of a conditional branch predictor; development of a model recommender system for agriculture using apriori algorithm; emotion speech recognition based on adaptive fractional deep belief network and reinforcement learning; concept-based electronic health record retrieval system in healthcare iot; hybrid cat using bayes classification and two-parameter model; a change detection technique using rough c-means on medical images; categorizing kidney stones using region properties and pixel intensity matrix; malware architectural view with performance analysis in network at its activation state; non-linear analysis of time series generated from the freeman k-set model; novel approach to segment the pectoral muscle in the mammograms; performance analysis of tcp variants using routing protocols of manet in grid topology; an ensemble feature selection framework of sonar targets using symmetrical uncertainty and multi-layer perceptron (su-mlp); autonomous path guiding robot for visually impaired people; analysis of diabetes for indian ladies using deep neural network; deep neural network based speech enhancement; wind power forecasting using support vector machine model in rstudio; a survey: Classification of big data; security measures in distributed approach of cloud computing; review paper: Licence plate and car model recognition.","Conference Review","0"
"36","2-s2.0-85052300241","10.1007/978-3-319-96071-5_119",NA,"Khalid H.|Liew W.S.|Voong B.S.|Helander M.","Damai Sciences|University of Malaya","Malaysia","2019","Creativity in Measuring Trust in Human-Robot Interaction Using Interactive Dialogs","Advances in Intelligent Systems and Computing","824",NA,"1175-1190","Dialog design|Human-Robot interaction|Trust","© 2019, Springer Nature Switzerland AG. The measurement of human trust in humanoid robots in human-robot interaction requires novel approaches that can predict trust effectively. We present a method that mapped subjective measures (i.e. general trust, psychological) to objective measures (i.e. physiological) to predict trust. We designed interactive dialogs that represent real world service scenarios of Business, Disaster, and Healthcare. The dialogs embedded fifteen trust attributes of Ability, Benevolence and Integrity (ABI) in the communication dialogs. The ABI measures were mapped to physiological measures of facial expressions, voiced speech and camera-based heart rate. Forty-eight subjects comprising 24 males and 24 females aged between 18 to 36 years participated in the experiment. Half of the subjects were Malays and half were Chinese. Three humanoid robots represented full bodied, partial bodied and virtual agents. The experimental design was a within-subjects design. Each subject was tested on all robots in all scenarios. Subjects scored trust on an online scale that ranged from 0 to 7 points. The subjective data was analyzed using Univariate and Oneway MANOVA. The results found the humanoids to be trustworthy in different service tasks. The attributes of ‘Integrity’ and ‘Ability’ trust components are important in Business and Disaster scenarios. The estimation of trust was about 83% accurate when using this creative approach. In conclusion, humanoid robots can interact with humans using dialogs that are representative of real world communication.","Conference Paper","0"
"37","2-s2.0-85052318065","10.1007/978-3-319-96071-5_13",NA,"Lee K.H.|Chua K.W.L.|Koh D.S.M.|Tan A.L.S.","DSO National Laboratories","Singapore","2019","Team Cognitive Walkthrough: Fusing Creativity and Effectiveness for a Novel Operation","Advances in Intelligent Systems and Computing","824",NA,"117-126","Cognitive walkthrough|Collaboration|Design thinking","© 2019, Springer Nature Switzerland AG. For first-of-its kind operation, it is valuable to bring together system designers and combatants to generate creative and feasible concepts to deploy robots in future operations. System designers will share the perspective in the terms of the technological possibilities and system limitations while the combatants bring with them the rich battlefield knowledge. The proposed methodology is the “Team Cognitive Walkthrough” which leverages on the strengths of both Design Thinking and Cognitive Walkthrough techniques to encourage collaboration to derive concepts for a novel operation. The Team Cognitive Walkthrough is conducted over a series of 3 day-long workshops with participants, made up of an equal mix of soldiers and engineers to define the problem statement, identify opportunities, and co-create a suite of solutions. Through weaving Design Thinking methodologies into Cognitive Walkthrough, creativity and effectiveness can both be achieved at an early stage of the development. LEGO ® SERIOUS PLAY ® provides a common language through the use of LEGO® bricks to establish rapport and common understanding amongst the participants. Collaborative Sketch allowed all participants to have equal voices in the first round of design. Application of the low fidelity paper prototypes during the Cognitive Walkthrough meant that the design changes could be effected rapidly. The initial findings have indicated that the ideation workshop involving the combatants and engineers together had led to the derivation of creative solutions. The combatants acquired a better understanding of the technological challenges while the engineers gained a deeper appreciation of the battlefield considerations.","Conference Paper","0"
"38","2-s2.0-85052661815","10.1016/j.future.2018.08.006",NA,"Hu L.|Miao Y.|Wu G.|Hassan M.M.|Humar I.","Huazhong University of Science and Technology|King Saud University|University of Ljubljana","China|Saudi Arabia|Slovenia","2019","iRobot-Factory: An intelligent robot factory based on cognitive manufacturing and edge computing","Future Generation Computer Systems","90",NA,"569-577","Artificial intelligence|Emotion interaction|Quality of experience","© 2018 Elsevier B.V. The Internet of Things (IoT) and Artificial Intelligence (AI) have been driving forces in propelling the technical innovation of intelligent manufacturing, promoting economic growth, and improving the quality of people's lives. In an intelligent factory, introducing edge computing is conducive to expanding the computing resources, the network bandwidth, and the storage capacity of the cloud platform to the IoT edge, as well as realizing the resource scheduling and data uplink and downlink processing during the manufacturing and production processes. Moreover, the emotion recognition and interaction of the Affective Interaction Intelligence Robot (iRobot), with the IoT cloud platform as the infrastructure and AI technology as the core competitiveness, can better solve the psychological problems of the user. Accordingly, this has become a hot research topic in the field of intelligent manufacturing. In this paper, we describe an intelligent robot factory (iRobot-Factory), adopt a highly interconnected and deeply integrated intelligent production line, and introduce the overall structure, composition, characteristics, and advantages of such a factory in details from the two aspects of cognitive manufacturing and edge computing. Then, we describe the implementation of the volume production of iRobot using iRobot-Factory and look at the system performance experimental results and analysis of the iRobot-Factory and a traditional factory. The experimental results show that our scheme significantly improved both the chip assembly and the production efficiency, while the number of system instructions also decreased significantly. In addition, we discuss some open issues relating to cloud-end fusion, load balancing, and personalized robots to make reference to promoting the emotion recognition and interaction experience of users.","Article","3"
"39","2-s2.0-85052795719","10.1007/978-3-030-00365-4_44",NA,"Pencic M.|Cavic M.|Borovac B.|Lu Z.","University of Novi Sad|Changshu Institute of Technology|Shenyang Institute of Automation Chinese Academy of Sciences","Serbia|China","2019","Social humanoid robot SARA: Development and realization of the shrug mechanism","Mechanisms and Machine Science","66",NA,"369-377","Kinematic-dynamic analysis|Mechanical design|Non-verbal communication|Optimal synthesis|Shrug mechanism","© 2019, Springer Nature Switzerland AG. One of the basic requirements of socially interactive robots is that they are able to effectively communicate, verbally and non-verbally. In addition to communication via speech, non-verbal communication of the robot is of utmost importance enabling different informations to be communicated in a simple and intuitive manner as well as expressing emotions. The paper presents the development and realization of the shrug mechanism as an addition to the assortment of non-verbal communication of socially interactive robots. The realized shrug mechanism has 1 DOF and enables lifting/lowering both shoulders together. It consists of a ballscrew shaft/nut mechanism that is coupled with a six-link planar lever mechanism. Within the kinematic-dynamic analysis, the basic parameters of the lever mechanism are defined – driving force on the input link, the vertical stroke of the end point of the shoulder and the dynamic efficiency of the lever mechanism. By optimal synthesis the driving force on the input link is reduced and, at the same time, the stroke of the input link is the smallest, while the stroke of the output links is the largest. That is why the movement of shoulders shrug is fast and short-termed, which was the basic requirement for realization of a movement that largely resembles to human-like movement. In addition, the mechanism is efficient in all positions during motion because the values of the transmission angle are within the prescribed values for the lever mechanisms. Ballscrew shaft/nut mechanism, besides enabling additional torque reduction, is also low backlash which is significant for motion control. The realized shrug mechanism enables high speed of shoulder shrug for small driving torque, has low backlash and high efficiency, compact design and small mass and dimensions.","Chapter","0"
"40","2-s2.0-85052876146","10.1007/978-3-319-97550-4_10",NA,"Garcia J.A.|Lima P.U.","Instituto Superior Técnico","Portugal","2019","Improving human behavior using pomdps with gestures and speech recognition","Intelligent Systems, Control and Automation: Science and Engineering","94",NA,"145-163",NA,"© 2019, Springer Nature Switzerland AG. This work proposes a decision-theoretic approach to problems involving interaction between robot systems and human users, with the goal of estimating the human state from observations of its behavior, and taking actions that encourage desired behaviors. The approach is based on the Partially Observable Markov Decision Process (POMDP) framework, which determines an optimal policy (mapping beliefs onto actions) in the presence of uncertainty on the effects of actions and state observations, extended with information rewards (POMDP-IR) to optimize the information-gathering capabilities of the system. The POMDP observations consist of human gestures and spoken sentences, while the actions are split into robot behaviors (such as speaking to the human) and information-reward actions to gain more information about the human state. Under the proposed framework, the robot system is able to actively gain information and react to its belief on the state of the human (expressed as a probability mass function over the discrete state space), effectively encouraging the human to improve his/her behavior, in a socially acceptable manner. Results of applying the method to a real scenario of interaction between a robot and humans are presented, supporting its practical use.","Chapter","0"
"41","2-s2.0-85053072416","10.1016/j.jss.2018.07.040","30502270","Chen H.E.|Yovanoff M.A.|Pepley D.F.|Prabhu R.S.|Sonntag C.C.|Han D.C.|Moore J.Z.|Miller S.R.","Pennsylvania State University|Penn State Health Milton S. Hershey Medical Center|Penn State College of Medicine","United States","2019","Evaluating surgical resident needle insertion skill gains in central venous catheterization training","Journal of Surgical Research","233",NA,"351-359","Central venous catheterization|Needle insertion|Robotic simulation|Surgical simulation|Training and assessment|Ultrasound manikins","© 2018 Elsevier Inc. Background: Training for ultrasound-guided central venous catheterization (CVC) is typically conducted on static manikin simulators with real-time feedback from a skilled observer. Dynamic haptic robotic trainers (DHRTs) are an alternative method that simulates various patient anatomies and provides consistent feedback for each insertion. This study evaluates CVC needle insertion efficiency and skill gains of both methods. Materials and methods: Fifty-two first-year surgical residents were trained by placing internal jugular (IJ) CVC needles in manikins (n = 26) or robots (n = 26). Manikin-trained participants received verbal feedback from an experienced observer, whereas robotically trained participants received quantitative feedback from the personalized DHRT learning interface. All participants were pretested on a Blue Phantom manikin; participants completed posttesting on a Blue Phantom manikin (n = 26) or a novel manikin (n = 26) with different vessel depth and position. During pretests and posttests residents were timed, motion-tracked, and scored on an IJ CVC checklist. Results: (1) All skills on the IJ CVC checklist showed significant (P < 0.014) improvements from pretests to posttest; (2) Average angle of insertion, path length, and jerk improved significantly (P < 0.005); (3) Average procedural completion time, with standard error (SE) reported, decreased significantly from pretest (M = 3.516 min, SE = 0.277) to posttest (M = 1.997, SE = 0.409). Conclusions: No significant group differences were observed in overall skill gains, but residents’ average procedural completion time decreased significantly from pretests to posttest. Overall results support DHRT as an effective method for training IJ CVC skills.","Article","0"
"42","2-s2.0-85053195906","10.1007/978-3-319-99316-4_27",NA,"Kudryavtsev K.Y.|Cherepanov A.V.|Voznenko T.I.|Dyumin A.A.|Gridnev A.A.|Chepin E.V.","National Research Nuclear University MEPhI|National University of Science &amp; Technology (MISIS)","Russian Federation","2019","The Method of Statistical Estimation of the Minimum Number of Tests for Reliable Evaluation of the Robotic Multi-channel Control Systems Quality","Advances in Intelligent Systems and Computing","848",NA,"203-208","Multi-channel control system|Reliability evaluation|Robotics","© 2019, Springer Nature Switzerland AG. There is a growth in adoption of multi-channel (tactile, voice, gesture, brain-computer interface, etc.) control systems for mobile robots that help to improve its reliability. But, a complex control system requires a large number of tests to determine the quality of operation. Hence, multi-channel control systems are subjects of rigorous testing process for estimation of the number of successful command recognitions and the number of errors. The more tests will be conducted, the more accurate evaluation of the control channel quality will be. However, in most cases, carrying out the tests is expensive and time-consuming. Therefore, it is necessary to determine the minimum number of tests required to evaluate channel control quality with a given significance level. In this paper we propose a technique for determining the minimum required number of tests. Experimental results of evaluating the multichannel control system of the mobile robotic wheelchair using this technique are presented.","Conference Paper","0"
"43","2-s2.0-85053255511",NA,NA,"NA NA","NA","NA","2019","5th International Conference on Computational Science and Technology, ICCST 2018","Lecture Notes in Electrical Engineering","481",NA,"",NA,"The proceedings contain 55 papers. The special focus in this conference is on . The topics include: Smart verification algorithm for IoT applications using QR tag; daily activities classification on human motion primitives detection dataset; implementation of quarter-sweep approach in poisson image blending problem; autonomous road potholes detection on video; Performance comparison of sequential and cooperative integer programming search methodologies in solving curriculum-based university course timetabling problems (CB-UCT); A framework for linear TV recommendation by leveraging implicit feedback; study of adaptive model predictive control for cyber-physical home systems; implementation of constraint programming and simulated annealing for examination timetabling problem; time task scheduling for simple and proximate time model in cyber-physical systems; towards stemming error reduction for Malay texts; DDoS attack monitoring using smart controller placement in software defined networking architecture; Malay language speech recognition for preschool children using hidden markov model (HMM) system Training; a formal model of multi-agent system for university course timetabling problems; an investigation towards hostel space allocation problem with stochastic algorithms; sensor selection based on minimum redundancy maximum relevance for activity recognition in smart homes; improving network service fault prediction performance with multi-instance learning; identification of road surface conditions using IoT sensors and machine learning; Real-time optimal trajectory correction (ROTC) for autonomous omnidirectional robot; incorporating cellular automaton based microscopic pedestrian simulation and genetic algorithm for spatial layout design optimization; qoE enhancements for video traffic in wireless networks through selective packet drops; Contactless palm vein ROI extraction using convex hull algorithm; residential neighbourhood security using WiFi.","Conference Review","0"
"44","2-s2.0-85053266882",NA,NA,"NA NA","NA","NA","2019","International Conference on Computer, Communication and Computational Sciences, IC4S 2017","Advances in Intelligent Systems and Computing","759",NA,"",NA,"The proceedings contain 85 papers. The special focus in this conference is on . The topics include: Traffic surveillance video summarization for detecting traffic rules violators using R-CNN; GAE: A genetic-based approach for software workflow improvement by unhiding hidden transactions of a legacy application; Research on object detection algorithm based on PVANet; Characterization of groundwater contaminant sources by utilizing MARS based surrogate model linked to optimization model; performance comparisons of socially inspired metaheuristic algorithms on unconstrained global optimization; comparative analysis of prediction algorithms for diabetes; An improved discrete grey model based on BP neural network for traffic flow forecasting; influence of the system parameters on the final accuracy for the user identification by free-text keystroke dynamics; correlation criterion in assessment of speech quality in process of oncological patients rehabilitation after surgical treatment of the speech-producing tract; Analysis of online news popularity and bank marketing using ARSkNN; Compressive sensing classifier based on K-SVD; Nonlinear manifold classification based on LLE; application of deep autoencoders in commerce recommendation; An efficient pipelined feedback processor for computing a 1024-Point FFT using distributed logic; Design of low-voltage CMOS Op-Amp using evolutionary optimization techniques; RGA-based wide null control for compact linear antenna array; A design of highly stable and low-power SRAM cell; Optimal design of 2.4 GHz CMOS LNA using PSO with aging leader and challenger; Input-output fault diagnosis in robot manipulator using fuzzy LMI-tuned PI feedback linearization observer based on nonlinear intelligent ARX model; Robot path planning by LSTM network under changing environment.","Conference Review","0"
